bin_start_day,bin_end_day,E[N|M>=3.0],P(N>=1)
0.0,14.0,1.7062,0.8185
14.0,28.0,0.1465,0.1363
28.0,42.0,0.0923,0.0881
42.0,56.0,0.0692,0.0669
56.0,70.0,0.0562,0.0547
70.0,84.0,0.0479,0.0468
84.0,98.0,0.042,0.0412
98.0,112.0,0.0377,0.037
112.0,126.0,0.0344,0.0338
126.0,140.0,0.0317,0.0312
140.0,154.0,0.0295,0.0291
154.0,168.0,0.0277,0.0273
168.0,182.0,0.0262,0.0258
182.0,196.0,0.0249,0.0245
196.0,210.0,0.0237,0.0234
210.0,224.0,0.0227,0.0225
224.0,238.0,2.5602,0.9227
238.0,252.0,0.423,0.3449
252.0,266.0,0.2054,0.1856
266.0,280.0,0.1435,0.1337
280.0,294.0,0.113,0.1068
294.0,308.0,0.0945,0.0902
308.0,322.0,0.0821,0.0788
322.0,336.0,0.073,0.0704
336.0,350.0,0.0661,0.064
350.0,364.0,0.0607,0.0589
364.0,378.0,0.0562,0.0547
378.0,392.0,0.0526,0.0512
392.0,406.0,0.0494,0.0482
406.0,420.0,0.0468,0.0457
420.0,434.0,0.0444,0.0435
434.0,448.0,0.0424,0.0415
448.0,462.0,0.0406,0.0398
462.0,476.0,0.039,0.0382
476.0,490.0,0.0375,0.0368
490.0,504.0,0.0362,0.0355
504.0,518.0,0.035,0.0344
518.0,532.0,0.0339,0.0333
532.0,546.0,0.0329,0.0323
546.0,560.0,0.032,0.0314
560.0,574.0,0.0311,0.0306
574.0,588.0,0.0303,0.0298
588.0,602.0,0.0296,0.0291
602.0,616.0,0.0289,0.0285
616.0,630.0,0.0282,0.0278
630.0,644.0,0.0276,0.0272
644.0,658.0,0.027,0.0267
658.0,672.0,0.0265,0.0262
672.0,686.0,0.026,0.0257
686.0,700.0,0.0255,0.0252
700.0,714.0,0.0251,0.0247
714.0,728.0,0.0246,0.0243
728.0,742.0,0.0242,0.0239
742.0,756.0,0.0238,0.0235
756.0,770.0,0.0235,0.0232
770.0,784.0,0.0231,0.0228
784.0,798.0,0.0228,0.0225
798.0,812.0,0.0224,0.0222
812.0,826.0,0.0221,0.0219
826.0,840.0,0.0218,0.0216
840.0,854.0,0.0215,0.0213
854.0,868.0,0.0213,0.021
868.0,882.0,0.021,0.0208
882.0,896.0,0.0208,0.0205
896.0,910.0,0.0205,0.0203
910.0,924.0,0.0203,0.0201
924.0,938.0,0.02,0.0198
938.0,952.0,0.0198,0.0196
952.0,966.0,0.0196,0.0194
966.0,980.0,0.0194,0.0192
980.0,994.0,0.0192,0.019
994.0,1008.0,0.019,0.0188
1008.0,1022.0,0.0188,0.0187
1022.0,1036.0,0.0187,0.0185
1036.0,1050.0,0.0185,0.0183
1050.0,1064.0,0.0183,0.0182
1064.0,1078.0,0.0182,0.018
1078.0,1092.0,0.018,0.0178
1092.0,1106.0,0.0179,0.0177
1106.0,1120.0,0.0177,0.0175
1120.0,1134.0,0.0176,0.0174
1134.0,1148.0,0.0174,0.0173
1148.0,1162.0,0.0173,0.0171
1162.0,1176.0,0.0172,0.017
1176.0,1190.0,0.017,0.0169
1190.0,1204.0,0.0169,0.0168
1204.0,1218.0,0.0168,0.0166
1218.0,1232.0,0.0167,0.0165
1232.0,1246.0,0.0165,0.0164
1246.0,1260.0,0.0164,0.0163
1260.0,1274.0,0.0163,0.0162
1274.0,1288.0,0.0162,0.0161
1288.0,1302.0,0.0161,0.016
1302.0,1316.0,0.016,0.0159
1316.0,1330.0,0.0159,0.0158
1330.0,1344.0,0.0158,0.0157
1344.0,1358.0,0.0157,0.0156
1358.0,1372.0,0.0156,0.0155
1372.0,1386.0,0.0155,0.0154
1386.0,1400.0,0.0154,0.0153
1400.0,1414.0,0.0153,0.0152
1414.0,1428.0,0.0153,0.0151
1428.0,1442.0,0.0152,0.0151
1442.0,1456.0,0.0151,0.015
1456.0,1470.0,0.015,0.0149
1470.0,1484.0,0.0149,0.0148
1484.0,1498.0,0.0149,0.0147
1498.0,1512.0,0.0148,0.0147
1512.0,1526.0,0.0147,0.0146
1526.0,1540.0,0.0146,0.0145
1540.0,1554.0,0.0146,0.0145
1554.0,1568.0,0.0145,0.0144
1568.0,1582.0,0.0144,0.0143
1582.0,1596.0,0.0144,0.0143
1596.0,1610.0,0.0143,0.0142
1610.0,1624.0,0.0142,0.0141
1624.0,1638.0,0.0142,0.0141
1638.0,1652.0,0.0141,0.014
1652.0,1666.0,0.014,0.0139
1666.0,1680.0,0.014,0.0139
1680.0,1694.0,0.0139,0.0138
1694.0,1708.0,0.0139,0.0138
1708.0,1722.0,0.0138,0.0137
1722.0,1736.0,0.0137,0.0137
1736.0,1750.0,0.0137,0.0136
1750.0,1764.0,0.0136,0.0135
1764.0,1778.0,0.0136,0.0135
1778.0,1792.0,0.0135,0.0134
1792.0,1806.0,0.0135,0.0134
1806.0,1820.0,0.0134,0.0133
1820.0,1834.0,0.0134,0.0133
1834.0,1848.0,0.0133,0.0132
1848.0,1862.0,0.0133,0.0132
1862.0,1876.0,0.0132,0.0131
1876.0,1890.0,0.0132,0.0131
1890.0,1904.0,0.0131,0.0131
1904.0,1918.0,0.0131,0.013
1918.0,1932.0,0.0131,0.013
1932.0,1946.0,0.013,0.0129
1946.0,1960.0,0.013,0.0129
1960.0,1974.0,0.0129,0.0128
1974.0,1988.0,0.0129,0.0128
1988.0,2002.0,0.0128,0.0128
2002.0,2016.0,0.0128,0.0127
2016.0,2030.0,0.8621,0.5777
2030.0,2044.0,0.1417,0.1321
2044.0,2058.0,0.0733,0.0707
2058.0,2072.0,0.0534,0.052
2072.0,2086.0,0.0436,0.0426
2086.0,2100.0,0.0376,0.0369
2100.0,2114.0,0.0337,0.0331
2114.0,2128.0,0.0308,0.0303
2128.0,2142.0,0.0286,0.0282
2142.0,2156.0,0.0269,0.0265
2156.0,2170.0,0.0255,0.0252
2170.0,2184.0,0.0244,0.0241
2184.0,2198.0,0.0234,0.0231
2198.0,2212.0,0.0226,0.0223
2212.0,2226.0,0.0219,0.0216
2226.0,2240.0,0.0212,0.021
2240.0,2254.0,0.0207,0.0205
2254.0,2268.0,0.0202,0.02
2268.0,2282.0,0.0197,0.0195
2282.0,2296.0,0.0193,0.0192
2296.0,2310.0,0.019,0.0188
2310.0,2324.0,0.0186,0.0185
2324.0,2338.0,0.0183,0.0182
2338.0,2352.0,0.018,0.0179
2352.0,2366.0,0.0178,0.0176
2366.0,2380.0,0.0175,0.0174
2380.0,2394.0,0.0173,0.0172
2394.0,2408.0,0.0171,0.017
2408.0,2422.0,0.0169,0.0168
2422.0,2436.0,0.0167,0.0166
2436.0,2450.0,0.0165,0.0164
2450.0,2464.0,0.0164,0.0162
2464.0,2478.0,0.0162,0.0161
2478.0,2492.0,0.016,0.0159
2492.0,2506.0,0.0159,0.0158
2506.0,2520.0,0.0158,0.0156
2520.0,2534.0,0.0156,0.0155
2534.0,2548.0,0.0155,0.0154
2548.0,2562.0,0.0154,0.0153
2562.0,2576.0,0.0153,0.0152
2576.0,2590.0,0.0152,0.0151
2590.0,2604.0,0.0151,0.0149
2604.0,2618.0,0.015,0.0148
2618.0,2632.0,0.0149,0.0147
2632.0,2646.0,0.0148,0.0147
2646.0,2660.0,0.0147,0.0146
2660.0,2674.0,0.0146,0.0145
2674.0,2688.0,0.0145,0.0144
2688.0,2702.0,0.0144,0.0143
2702.0,2716.0,0.0143,0.0142
2716.0,2730.0,0.0143,0.0142
2730.0,2744.0,0.0142,0.0141
2744.0,2758.0,0.0141,0.014
2758.0,2772.0,0.014,0.0139
2772.0,2786.0,0.014,0.0139
2786.0,2800.0,0.0139,0.0138
2800.0,2814.0,0.0138,0.0137
2814.0,2828.0,0.4574,0.3671
2828.0,2842.0,0.06,0.0582
2842.0,2856.0,0.0394,0.0386
2856.0,2870.0,0.0318,0.0313
2870.0,2884.0,0.0277,0.0273
2884.0,2898.0,0.0251,0.0248
2898.0,2912.0,0.0233,0.023
2912.0,2926.0,0.022,0.0217
2926.0,2940.0,0.021,0.0207
2940.0,2954.0,0.0201,0.0199
2954.0,2968.0,0.0195,0.0193
2968.0,2982.0,0.0189,0.0187
2982.0,2996.0,0.0184,0.0183
2996.0,3010.0,0.018,0.0178
3010.0,3024.0,0.0176,0.0175
3024.0,3038.0,0.0173,0.0172
3038.0,3052.0,0.017,0.0169
3052.0,3066.0,0.0168,0.0166
3066.0,3080.0,0.0165,0.0164
3080.0,3094.0,0.0163,0.0162
3094.0,3108.0,0.4844,0.3839
3108.0,3122.0,0.1211,0.114
3122.0,3136.0,0.056,0.0545
3136.0,3150.0,0.0416,0.0407
3150.0,3164.0,0.0348,0.0342
3164.0,3178.0,0.2637,0.2318
3178.0,3192.0,0.0494,0.0482
3192.0,3206.0,0.0387,0.038
3206.0,3220.0,0.0338,0.0332
3220.0,3234.0,0.0307,0.0302
3234.0,3248.0,0.0285,0.0281
3248.0,3262.0,0.0269,0.0265
3262.0,3276.0,0.0256,0.0253
3276.0,3290.0,0.0245,0.0242
3290.0,3304.0,0.0236,0.0233
3304.0,3318.0,0.0229,0.0226
3318.0,3332.0,0.0222,0.022
3332.0,3346.0,0.0216,0.0214
3346.0,3360.0,0.0211,0.0209
3360.0,3374.0,0.0206,0.0204
3374.0,3388.0,0.0202,0.02
3388.0,3402.0,0.0199,0.0197
3402.0,3416.0,0.0195,0.0193
3416.0,3430.0,0.0192,0.019
3430.0,3444.0,0.0189,0.0187
3444.0,3458.0,0.0186,0.0185
3458.0,3472.0,0.0184,0.0182
3472.0,3486.0,0.0181,0.018
3486.0,3500.0,0.0179,0.0178
3500.0,3514.0,0.0177,0.0175
3514.0,3528.0,0.2333,0.2081
3528.0,3542.0,0.0738,0.0712
3542.0,3556.0,0.037,0.0363
3556.0,3570.0,0.0296,0.0292
3570.0,3584.0,0.0262,0.0259
3584.0,3598.0,0.0242,0.0239
3598.0,3612.0,0.0228,0.0225
3612.0,3626.0,1.1699,0.6896
3626.0,3640.0,0.694,0.5004
3640.0,3654.0,0.1671,0.1538
3654.0,3668.0,178.8884,1.0
3668.0,3682.0,74.1723,1.0
3682.0,3696.0,49.963,1.0
3696.0,3710.0,31.551,1.0
3710.0,3724.0,24.7849,1.0
3724.0,3738.0,16.8049,1.0
3738.0,3752.0,16.1995,1.0
3752.0,3766.0,14.4113,1.0
3766.0,3780.0,10.6539,1.0
3780.0,3794.0,9.218,0.9999
3794.0,3808.0,11.7049,1.0
3808.0,3822.0,9.5015,0.9999
3822.0,3836.0,9.2402,0.9999
3836.0,3850.0,10.4503,1.0
3850.0,3864.0,7.3982,0.9994
3864.0,3878.0,7.4315,0.9994
3878.0,3892.0,7.8193,0.9996
3892.0,3906.0,7.7948,0.9996
3906.0,3920.0,6.3019,0.9982
3920.0,3934.0,5.1936,0.9944
3934.0,3948.0,6.2738,0.9981
3948.0,3962.0,6.6658,0.9987
3962.0,3976.0,6.5183,0.9985
3976.0,3990.0,6.5414,0.9986
3990.0,4004.0,4.3993,0.9877
4004.0,4018.0,6.6753,0.9987
4018.0,4032.0,5.0142,0.9934
4032.0,4046.0,4.094,0.9833
4046.0,4060.0,4.9905,0.9932
4060.0,4074.0,3.7992,0.9776
4074.0,4088.0,5.5764,0.9962
4088.0,4102.0,4.4144,0.9879
4102.0,4116.0,3.8255,0.9782
4116.0,4130.0,3.8385,0.9785
4130.0,4144.0,3.171,0.958
4144.0,4158.0,2.6661,0.9305
4158.0,4172.0,3.6526,0.9741
4172.0,4186.0,2.6437,0.9289
4186.0,4200.0,2.514,0.9191
4200.0,4214.0,2.3449,0.9041
4214.0,4228.0,4.2803,0.9862
4228.0,4242.0,3.561,0.9716
4242.0,4256.0,3.4945,0.9696
4256.0,4270.0,2.5951,0.9254
4270.0,4284.0,2.2057,0.8898
4284.0,4298.0,2.1292,0.8811
4298.0,4312.0,2.3146,0.9012
4312.0,4326.0,3.1721,0.9581
4326.0,4340.0,2.1641,0.8851
4340.0,4354.0,1.9225,0.8538
4354.0,4368.0,3.0842,0.9542
4368.0,4382.0,2.6204,0.9272
4382.0,4396.0,2.3718,0.9067
4396.0,4410.0,4.0589,0.9827
4410.0,4424.0,2.6117,0.9266
4424.0,4438.0,2.7469,0.9359
4438.0,4452.0,2.3337,0.9031
4452.0,4466.0,1.735,0.8236
4466.0,4480.0,1.7707,0.8298
4480.0,4494.0,1.5265,0.7827
4494.0,4508.0,1.8867,0.8484
4508.0,4522.0,2.5457,0.9216
4522.0,4536.0,1.6776,0.8132
4536.0,4550.0,1.6126,0.8006
4550.0,4564.0,1.6567,0.8092
4564.0,4578.0,1.5574,0.7893
4578.0,4592.0,3.492,0.9696
4592.0,4606.0,1.8672,0.8454
4606.0,4620.0,2.2728,0.897
4620.0,4634.0,1.5998,0.7981
4634.0,4648.0,3.0386,0.9521
4648.0,4662.0,1.9639,0.8597
4662.0,4676.0,1.8592,0.8442
